ingredient,adulterant,count
Capsicum,Dextrose,1
Capsicum,Sudan dyes,1
Capsicum,Sugars,1
Capsicum,Tomato skin,1
Capsicum spices,Dextrose or disaccahrides,1
Caraway oil* (Carum carvii),Limonene and (+)-carvone,1
Cardamom oil* (Elletaria cardamomum),"Linalyl acetate, 1,8-cineole, and alpha-terpinyl acetate",1
Caviar (beluga),Catfish roe,1
Cardamom powder,Defatted paprika,1
Carrageenan*,Konjac gum,1
Casein coprecipitate*,Whey,1
Cassia oil*,Cedarwood oil,1
Cassia oil*,Gurjun balsam oil,1
Cassia oil*,Oil from non-authentic species,1
Cassia oil*,Rosin and petroleum,1
Cassia oil*,Synthetic benzaldehyde,1
Cassia oil* (Cinnamomum aromaticum),"Synthetic cinnamic aldehyde, methyl cinnamic aldehyde, and coumarin",1
Caviar (beluga or sevruga),Paddlefish roe,1
Black cardamom (Badi Elaichi),Choti Elaichi seeds,1
Bilberry,Amaranth dye or non-authentic source of anthocyanins,1
Bilberry,Amaranth color additive,1
Betalain pigments derived from purple pitaya fruit,Betalain pigments derived from red beets,1
Apple juice,Juice from non-authentic fruit,1
Apple juice,Raisin sweetener,1
Apple juice,Synthetic malic acid with beet sugar,1
Apple juice,d-malic acid,1
"Apple juice (Whole, pulpy juice)",Cane sugar,1
Apple or orange juice,Corn derived sweeteners,1
Apple or orange juice,Corn syrup and beet or cane invert syrup,1
Apple puree,Fruit from non-authentic botanical origin,1
Apricot juice,Juice from non-authentic fruit,1
Apricot kernel oil,Oil from non-authentic botanical origin,1
Argan oil (Argania spinosa),Soybean oil,1
Argan oil (Argania spinosa),Sunflower oil,1
Asafoetida,Chalk,1
Asafoetida,Gum,1
Asafoetida,Resin,1
Asafoetida,Scented and colored resin,1
Atlantic cod (Gadus morhua),"Saithe (Pollachius
virens)",1
Austral hake (Merluccius australis),Hake fish of non-authentic species,1
Baby food,Non-authentic brand baby food,1
Bajara flour,Chalk powder,1
Balm oil (Melissa ofjcinalis),"Citronella oil (Java type, Cymbopogon winterianus)",1
Balm oil (Melissa ofjcinalis),Eucalyptus citriodora,1
Barley (beer-grade),Barley (food-grade),1
Apple juice,Inverted beet syrup,1
Apple juice,Invert sugar syrup,1
Apple juice,Hydrolyzed inulin,1
Aloe vera gel powder,Glucose,1
(E)-beta-Ionone (natural),Synthetic or semi-synthetic (E)-beta-ionone,1
Agiorgitiko monovarietal grape wine,Cabernet Sauvignon wine,1
Allspice,Artificially colored filler,1
Almond oil*,Oil from non-authentic botanical origin,1
Almond oil*,Vegetable oils of non-authentic botanical or geographic origin,1
"Almond oil, bitter*",Synthetic benzaldehyde,1
"Almond oil, bitter*",Synthetic or semi-synthetic benzaldehyde,1
"Almond oil, bitter* (Prunus amygdalus var. dulcis)","Benzaldehyde, as the oil",1
Almonds (Guara),Almonds (Butte),1
Almonds (Marcona),Almonds (Butte),1
Aloe vera gel powder,Glycerine,1
Apple juice,Grape juice,1
Aloe vera gel powder,Malic acid,1
Aloe vera gel powder,Maltodextrin,1
Aloe vera gel powder,Non-authentic substances,1
"Amazonian oils and fats (e.g., brazil nut oil)",Oil from non-authentic botanical origin,1
Anglerfish,Anglerfish of non-authentic species,1
Animal feed,Melamine,1
Anise oil* (Pimpinella spp.),Star anise oil (Illicium verum),1
Anise oil* (Pimpinella spp.),Technical grade anethol,1
Apple juice,Fig juice,1
Apple juice,"Fructose, glucose, and sucrose",1
Basil oil exotic (Ocimum spp.),Methyl chavicol and linalol,1
Basmati rice,Long grain rice,1
Basmati rice,Non-authentic rice variety,1
Bergamot oil,Sweet orange oil with added (-)-limonene,1
Bergamot oil,Methyl N-methyl anthranilate,1
Bergamot oil,Mineral oil,1
Bergamot oil,Monoterpene hydrocarbons,1
Bergamot oil,Non-authentic citrus oils,1
Bergamot oil,Nonvolatile residue of grapefruit oil,1
Bergamot oil,Nonvolatile residue of lime oil,1
Bergamot oil,Oil residues from cold extraction of bergamot,1
Bergamot oil,Petroleum,1
Bergamot oil,Recovered oils,1
Bergamot oil,Sweet orange oil,1
Bergamot oil,Synthetic linalool and linalyl acetate,1
Bergamot oil,Linalyl aceate esters (synthetic or from non-authentic botanical source),1
Bergamot oil,Turpentine,1
Bergamot oil,n-homomenthyl salicilate,1
Bergamot oil,p-Aminobenzoic acid,1
Bergamot oil (cold-pressed),Oil residues from cold extraction of bergamot combined with synthetic compounds,1
Bergamot oil (cold-pressed),Recovered oils,1
Bergamot oil (cold-pressed),Terpenes,1
Bergamot oil* (Citrus bergamia),"Lemon oil, rectified ho oil (Cinnamomum spp.), acetylated ho oil, or Bitter orange oil (Citrus aurantium subsp. aurantium)",1
Bergamot oil* (Citrus bergamia),Linalol and linalyl acetate,1
Bergamot oil* (Citrus bergamia),"Sweet orange oil (Citrus sinensis) and orange terpenes, plus trace amounts of character compounds",1
Bergamot oil*(Citrus aurantium L. subsp. bevgamia (Risso et Poit.),Non-authentic linalool and linalyl acetate,1
Bergamot oil,Menthyl salicilate,1
Bergamot oil,Linalool from non-authentic source,1
Basmati rice,Rice of non-authentic botanical origin,1
Beeswax*,Gypsum,1
Bayberry juice,Water,1
Bee pollen,Sibutramine,1
Beef,Dyed pork,1
Beef,Pork marinated in beef extract and glazing agent,1
Beef fat,Pork fat,1
Beef meat,Horse meat,1
Beef meat,Rat meat and fox meat,1
Beef meat (grass-fed),Beef meat (grain-fed),1
Beer,Water,1
Beeswax*,Carnuba wax,1
Beeswax*,Starch,1
Bergamot oil,Linalool (synthetic or from non-authentic botanical source),1
Beeswax*,Tallow,1
Belacan (shrimp paste),Fake shrimp paste,1
Benzoin resinoid (Styrax spp.),"Vanillin, benzyl benzoate, ethyl and benzyl cinnamates, and benzoic acid to enhance odor (or to pass off cheaper &ldquo;Sumatra&rdquo; grades as &ldquo;Siam&rdquo;)",1
Bergamot oil,4-Methoxychalcone,1
Bergamot oil,Castor oil,1
Bergamot oil,Cedar wood stearin,1
Bergamot oil,Citrus oils of non-authentic origin,1
Bergamot oil,Distilled oils,1
Bergamot oil,Kerosence,1
Bergamot oil,Lime oil residue,1
Cheese (water buffalo),Milk ingredients (cow),1
Chesnut (Portuguese),Nuts of non-authentic botanical or geographic origin,1
"Edible oil (cold-pressed, extra virgin, or non-refined)",Refined edible oil,1
Coriander,Rice husk and wood fiber,1
Coffee (instant),Coffee husks/parchment,1
Coffee (instant),Coffee husks/parchments,1
Coffee (instant),Figs,1
Coffee (instant),Glucose,1
Coffee (instant),Glucose syrup,1
Coffee (instant),Leguminous plants,1
Coffee (instant),Malt,1
Coffee (instant),Maltodextrin,1
Coffee (instant),Non-authentic brand coffee,1
Coffee (instant),Non-authentic manufacturer,1
Coffee (instant),Non-authentic materials,1
Cognac oil*,"Ethyl esters of aliphatic acids (e.g., ethyl oenanthate)",1
Condensed milk,Palm oil,1
Condensed milk,Vegetable oil,1
Cooking oil,Animal-feed grade oil,1
Cooking oil,Argemone oil,1
Cooking oil,Argemone oil (Argemone Mexicana),1
Cooking oil,Engine oil,1
Cooking oil,Gutter oil (recycled oil),1
Cooking oil,Mineral oil,1
Marzipan,Pea,1
Cooking oil,Rancid cooking oil,1
Cooking oils,Industrial oils contaminated with triorthocresyl phosphate (TOCP),1
Coffee (instant),Coffee husks,1
Coffee (instant),Coffee husk or parchment,1
Coffee (instant),Chicory powder,1
Coffee,Tamarind seed,1
Coffee,Potato flour,1
Coffee,Roasted barley,1
Coffee,Roasted beans,1
Coffee,Roasted date seeds,1
Coffee,Roasted grains,1
Coffee,Roasted soybeans,1
Coffee,"Roasted, ground corn",1
Coffee,"Roasted, ground parchment",1
Coffee,Rye flour,1
Coffee,Starch,1
Coffee,Twigs,1
Coffee (instant),Cereals,1
Coffee (Arabica),Coffee (Robusta),1
Coffee (Arabica),Robusta coffee,1
"Coffee (Columbian, Arabica)",Coffee of non-authentic geographic origin,1
Coffee (Kona typica),Coffee of non-authentic origin,1
Coffee (Kona),Coffee of non-authentic geographic origin,1
Coffee (ground),Chicory powder,1
Coffee (ground),Tamarind seeds,1
Coffee (instant),Caramel,1
Coffee (instant),Caramelized sugar,1
Coffee (instant),Carmalized sugar,1
Cooking oils,Oils of non-authentic botanical origin,1
Coriander oil* (Coriandrum sativum L.),Non-authentic oils,1
Chestnut,"Grains or legumes (wheat, barley, kidney bean, etc.)",1
Coriander oil* (Coriandrum sativum L.),Synthetic or semi-synthetic linalool,1
Cumin,Artificially colored fennel seeds,1
Cumin,Colored grass seeds,1
Cumin,Fennel seeds,1
Cumin,Fennel seeds coated with marble dust,1
Cumin oil* (Cuminum cyminum),Cuminaldehyde,1
Cumin powder,Peanut,1
Cumin seeds,Artificially colored non-authentic seed,1
Cumin seeds,Colored seeds from non-authentic plant,1
Cumin seeds,Grass seeds colored with charcoal dust,1
Curry powder,Curcumin,1
Curry powder,Metanil yellow,1
Curry powder,Sudan I dye,1
Cypress oil (Cupressus sempervirens),"alpha-Pinene, d-3-carene, myrcene",1
Decanal (natural),Synthetic decanal,1
Deep cape hake (Merluccius paradoxus),Hake fish of non-authentic species,1
Deli meats,Undeclared animal and plant proteins,1
Dill seed oil* (Anethum graveolens),alpha-Phellandrene and limonene,1
Drink mix,Non-authentic brand drink mix,1
Duck and partridge sausage,Chicken and turkey meat,1
Duck and partridge sausage,Chicken meat,1
Duck eggs,Sudan red dyes,1
E-2-Hexenal (natural),Synthetic E-2-hexanal,1
E-2-Hexenol (natural),Synthetic E-2-hexenol,1
Cumin,Almond husk,1
Crude palm oil,Sudan dyes,1
Cranberry juice,Juice of non-authentic botanical origin,1
Corn gluten meal,Amidinourea,1
Coriander oil* (Coriandrum sativum),Linalol and trace amounts of certain pyrazines,1
Coriander powder,Dung powder,1
Coriander powder,Powdered horse dung,1
Coriander powder,Rice husk and castor oil base,1
Coriander powder,Salt,1
Coriander powder,Saw dust,1
Coriander powder,Starch,1
Corn flour,Melamine and related compounds,1
Corn germ oil,Sunflower oil,1
Corn gluten,Melamine and related compounds,1
Corn gluten meal,Biuret,1
Crab meat,Surimi-based artificial crab meat,1
Corn gluten meal,Cyromazine,1
Corn gluten meal,Dicyandiamide,1
Corn gluten meal,Triuret,1
Corn gluten meal,Urea,1
Corn oil*,Canola oil,1
Corn oil*,Non-authentic oil,1
Corn oil*,Oil of non-authentic botanical origin,1
Corn oil*,Recycled vegetable oil,1
Corn oil*,Swill or gutter oil (refined oil from recycled food and livestock waste),1
Crab (species specific),Crustacean of non-authentic species,1
Coffee,Maltodextrin,1
Coffee,Malt,1
Coffee,Glucose,1
Coffee,Figs,1
Chili tomato sauce,Sudan IV dye,1
Chilli powder,Colored sawdust,1
Chilli powder,Coriander husk,1
Chilli powder,Red clay,1
Chilli powder,Rice husk and castor oil base,1
Chilli powder,Rice powder,1
Chilli powder,Saw dust,1
Chilli powder,Sudan I dye,1
Chillies,Brick powder,1
Chillies,Sand,1
Chocolate,Cocoa butter substitute,1
Chocolate,Lard,1
Cinnamon,Artificially colored filler,1
Cinnamon,Cassia,1
Cinnamon (Cinnamomum verum J.S. Presl.),Cassia cinnamon,1
Cinnamon bark oil* (Cinnamomum zeylanicum),Cinnamon leaf oil,1
Cinnamon bark oil* (Cinnamomum zeylanicum),"Synthetic benzaldehde, eugenol, and cinnamic aldehyde",1
Cinnamon leaf oil* (Cinnamomum zeylanicum),"Clove fractions, eugenol, and cinnamic aldehyde",1
Cinnamon oil*,Synthetic or semi-synthetic cinnamaldehyde,1
Citrus juice,Cane sucrose,1
Citrus oils,Fatty aldehydes and monoterpene alcohols and esters to terpeneless and folded citrus oils,1
Clouding agent,Di-(2-ethylhexyl)phthalate (DEHP),1
Clouding agent,Di-isononyl phthalate (DINP),1
Chili tomato sauce,Sudan III dye,1
Chili tomato sauce,Sudan II dye,1
Chili tomato sauce,Sudan I dye,1
Chilean hake (Merluccius gayi),Hake fish of non-authentic species,1
Chestnut puree (Castanea sativa),Phaseolus vulgaris beans,1
Chick peas,Kesari dal,1
Chicken breasts,Protein powder,1
Chicken feed,Melamine,1
Chicken feed (organic),Chicken feed (conventional),1
Chicken meat,Beef and pork gristle and bones,1
Chicken meat,Condemned/contaminated chicken meat,1
Chicken meat (corn-fed),Chicken meat from non-corn-fed chickens,1
Chicken stock,Non-authentic brand of chicken stock,1
Chickpea flour,Corn flour and bengal gram (Cicer arietinum),1
Chili pods,Fabric dye,1
Chili power,Rhodamine B,1
Chili powder,Almond shell powder,1
Chili powder,Brick powder,1
Chili powder,"Brick powder, sand, or dirt",1
Chili powder,Color additives,1
Chili powder,Curcumin,1
Chili powder,Metanil yellow,1
Chili powder,Powdered Ziziphus nummularia fruit,1
Chili powder,"Sudan I, II, III, or IV dyes",1
Chili powder,Synthetic dyes,1
Chili powder,Talc,1
Clouding agent,Diisononyl phthalate (DINP),1
Clouding agent in food matrix,Benzyl butyl phthalate (BBP),1
Clouding agent in food matrix,Di-2-ethylhexyl phthalate (DEHP),1
Cod liver oil,Beef fat,1
Coconut oil,Substandard oil,1
Coconut oil (virgin),Canola oil,1
Coconut oil (virgin),Corn oil,1
Coconut oil (virgin),Lard,1
Coconut oil (virgin),Palm kernel olein,1
Coconut oil (virgin),Sunflower oil,1
Coconut oil*,Caster oil,1
Coconut powder,"Semolina, rice flour, and sodium bicarbonate",1
Cod,Haddock,1
Cod (Gadus morhua or G. macrocephalus),Haddock (Melanogrammus aeglefinus),1
Cod liver oil,Oil from non-authentic origin,1
Coconut oil,Palm oil,1
Cod liver oil,Oils of non-authentic origin,1
Coffee,Acorns,1
Coffee,Barley,1
Coffee,Burned sugar,1
Coffee,Caramel,1
Coffee,Chicory powder,1
Coffee,Coffee husk or cereals,1
Coffee,Coffee of non-authentic species,1
Coffee,Coffee twigs,1
Coffee,Corn,1
Coconut oil,Paraffin oil,1
Coconut oil,Palm kernel olein,1
Clouding agent in food matrix,Di-n-octyl phthalate (DNOP),1
Cocoa butter,Non-authentic fats or oils,1
Clouding agent in food matrix,Dibutyl phthalate (DBP),1
Clouding agent in food matrix,Diisobutyl phthalate,1
Clouding agent in food matrix,Diisononyl phthalate (DINP),1
Clouding agent in food matrix,diisodecyl phthalate (DIDP),1
Clove oil*,Oil of non-authentic botanical origin,1
Clove oil* (Syzygium aromaticum),Clove stem oil and isolates (eugenol) and eugenyl acetate,1
Cloves,Artificially colored filler,1
Cloves,Defatted cloves,1
Cochineal derived colors*,Cochineal color from non-authentic geographic origin,1
Cocoa butter,Cocoa butter replacer,1
Cocoa butter,Non-authentic oils and fats,1
Cocoa powder,Sucrose,1
Cocoa powder,Arrowroot,1
Cocoa powder,Carob powder,1
Cocoa powder,Chestnut shell,1
Cocoa powder,Chicory powder,1
Cocoa powder,Cocoa husks,1
Cocoa powder,Grain flours,1
Cocoa powder,Non-authentic brand,1
Cocoa powder,Peanut shell,1
Cocoa powder,Sesame meal,1
Cocoa powder,Soybean flour,1
Marzipan,Lupine,1
Milk (fluid),Non-authentic fat,1
Marzipan,Peach kernels,1
Saffron (Crocus sativus L.),Saltpeter,1
Saffron (Crocus sativus L.),Seignette's salt,1
Saffron (Crocus sativus L.),Stamens of carnation species,1
Saffron (Crocus sativus L.),Starch,1
Saffron (Crocus sativus L.),Stigmas from non-authentic crocus botanical origin (Crocus vernus L.; Crocus especiousus L.),1
Saffron (Crocus sativus L.),Sunset yellow,1
Saffron (Crocus sativus L.),Sunset yellow dye,1
Saffron (Crocus sativus L.),Synthetic safranal,1
Saffron (Crocus sativus L.),Threads of gelatin,1
Saffron (Crocus sativus L.),Tropeolin color,1
Saffron (geogrphaphic origin specific),Saffron of non-authentic geographic origin,1
Sago starch,Sand and talcum,1
Sago starch,Tapioca starch,1
Salmon,Herring,1
Salmon (Russian),Salmon (Chinese),1
Salt,Stone powder and chalk,1
"Salt (sindhav, rock salt)",Powdered stone,1
Salt*,By-product of pesticide processing containing salt,1
Salt*,Road salt,1
Sanchal,Earth material/powdered stone,1
Sandalwood oil* (Santalum album),Coconut oil,1
Sandalwood oil* (Santalum album),Paraffin oil,1
Saffron (Crocus sativus L.),Sandlewood dust,1
Saffron (Crocus sativus L.),Saffron with artificially increased water content,1
Sandalwood oil* EI (Santalum album),Sandalwood terpenes and sandalwood fragrance chemicals,1
Saffron (Crocus sativus L.),Saffron of non-authentic geographic origin,1
Saffron (Crocus sativus L.),Fibers of dried animal meats,1
Saffron (Crocus sativus L.),"Flowers from non-authentic botanical origin cut into strips (Papaver rhoeas L., Punica granatum L., Arinica montana L., or Scolymus hispanicus L.)",1
Saffron (Crocus sativus L.),Fuchsin color,1
Saffron (Crocus sativus L.),Glauber's salt,1
Saffron (Crocus sativus L.),Glucose,1
Saffron (Crocus sativus L.),Ground red pepper (Capsicum annuum L.),1
Saffron (Crocus sativus L.),Gypsum,1
Saffron (Crocus sativus L.),Herbaceous plants cut into strips and dyed with azo or cochineal dye,1
Saffron (Crocus sativus L.),Lactose,1
Saffron (Crocus sativus L.),Logwood particles,1
Saffron (Crocus sativus L.),Martius yellow color,1
Saffron (Crocus sativus L.),Naphthol yellow,1
Saffron (Crocus sativus L.),Naphtol yellow,1
Saffron (Crocus sativus L.),Norbixin,1
Saffron (Crocus sativus L.),Petals of Carthamus tinctorius L. or Calendula officinalis L.,1
Saffron (Crocus sativus L.),Picric acid color,1
Saffron (Crocus sativus L.),Potassium hydroxide,1
Saffron (Crocus sativus L.),Quinoline dye,1
Saffron (Crocus sativus L.),Quinoline yellow,1
Saffron (Crocus sativus L.),Roots of Allium porrum L.,1
Saffron (Crocus sativus L.),"Saffron impregnated with syrups, glycerin, or oils",1
Sandalwood oil* EI (Santalum album),Ethylene glycol,1
Saury,Sardines,1
Saffron (Crocus sativus L.),Dyed strips of other parts of the saffron plant (stamens or perigonia),1
Shell eggs,Shell eggs of non-authentic geographic origin,1
Shrimp,Gelatin,1
Shrimp (Ecuador),"Shrimp from Thailand, Malaysia, or Indonesia",1
Shrimp (Honduras),"Shrimp from Thailand, Malaysia, or Indonesia",1
Shrimp (Indonesian),Shrimp (Chinese),1
Shrimp (US wild caught),Farm raised non-US shrimp,1
Shrimp (species specific),Crustacean of non-authentic species,1
Silver foil,Aluminum,1
Silver foil,Nickel,1
Silver hake (Merluccius bilinearis),Hake fish of non-authentic species,1
Skim milk (fluid),Amidinourea,1
Skim milk (fluid),Biuret,1
Skim milk (fluid),Cyromazine,1
Skim milk (fluid),Dicyandiamide,1
Skim milk (fluid),Triuret,1
Skim milk (fluid),Urea,1
Skim milk (powder),Amidinourea,1
Skim milk (powder),Biuret,1
Skim milk (powder),Cyromazine,1
Skim milk (powder),Dicyandiamide,1
Skim milk (powder),Triuret,1
Skim milk (powder),Urea,1
Shell eggs (free range),Shell eggs (barn raised),1
Shell eggs,"Fake, engineered eggs",1
Sausages,Undeclared animal and plant proteins,1
Shell eggs,"Fake eggs made of alginic acid, potassium, calcium chloride, gelatin,
paraffin, artificial coloring and water",1
Scallops,Sodium-based water retention agent and water,1
Scallops,Water (use of water retention agents or overglazing),1
Scampi (Neplirops norvegicus),Crustacean of non-authentic species,1
Scotch whiskey,Non-authentic brand of scotch whiskey,1
Scotch whiskey (brand specific),Non-authentic brand,1
Scrod fish,Non-authentic fish species,1
Sea bass (Dicentrarchus Labrax),Japanese sea bass (Lateolabrax Japonicus),1
Sea bass (Dicentrarchus Labrax),Japanese seabass (Lateolabrax japonicus),1
Seabream (Sparus aurata),Cod (Gadus morhua),1
Semolina,Iron filings,1
Senegalese hake (Merluccius senegalensis),Hake fish of non-authentic species,1
Sesame oil,Argemone oil (Argemone Mexicana),1
Sesame oil,Canola oil,1
Sesame oil,Maize oil,1
Sesame oil,Oil of non-authentic botanical origin,1
Sesame oil,Peanut oil,1
Sesame oil,Perilla oil,1
Sesame oil,Sesame oil of non-authentic geographic origin,1
Sesame oil,Swill or gutter oil (refined oil from recycled food and livestock waste),1
Sesame oil,Vegetable oil,1
Sesame oil (black sesame),Yellow sesame oil,1
Saffron (Crocus sativus L.),Erythrosine,1
Saffron (Crocus sativus L.),Curcumin dye,1
Marzipan,"Persipan (mixture of bitter almonds, apricot, or peach kernels)",1
Rice protein concentrate,Melamine,1
Rose oil*,"Reconstructions using damascones, beta-ionone plus -citronellol and other rose alcohols, plus rose steroptenes",1
Rose oil*,beta-Phenylethanol,1
Rose oil*,"beta-Phenylethyl alcohol, rhodinol fractions, and cheaper rose oils (Morocco, Crimea, etc.)",1
Rosemary oil* (Rosmarinus officinalis),"Camphor, isobornyl acetate (+ Eucalyptus and turpentine oil fractions)",1
Rosemary oil* (Rosmarinus officinalis),Eucalyptus oil (Eucalyptus globulus) and camphor oil white (Cinnamomum camphora),1
Rosewood oil (Aniba spp.),"Linalol, plus trace amounts of methyl heptenone, methyl heptenol, 3-octanol, and para-methyl acetophenone",1
Rosewood oil (Aniba spp.),Petitgrain oil terpeneless (Citrus aurantium subsp. aurantium),1
Royal jelly,Non-authentic sugars,1
Royal jelly,Yeast powder,1
Rum,"Ethanol, methanol, or water",1
Sacha inchi oil (Plukenetia volubilis L.),Canola oil,1
Sacha inchi oil (Plukenetia volubilis L.),Corn oil,1
Sacha inchi oil (Plukenetia volubilis L.),Cottonseed oil,1
Sacha inchi oil (Plukenetia volubilis L.),Flax,1
Sacha inchi oil (Plukenetia volubilis L.),High-oleic sunflower oil,1
Sacha inchi oil (Plukenetia volubilis L.),Olive oil,1
Sacha inchi oil (Plukenetia volubilis L.),Sunflower oil,1
Saffron,Ammonium nitrate,1
Saffron,Annatto,1
Saffron,Artificial colors,1
Saffron,Beet fiber,1
Rice protein isolate,Melamine and related compounds,1
Rice flour,Melamine and related compounds,1
Saffron,Borax and glycerin,1
Rice bran oil,Swill or gutter oil (refined oil from recycled food and livestock waste),1
Rajagara flour,Chalk powder,1
Raspberry juice,Red currant juice,1
Raspberry juice,Strawberry juice,1
Raspberry ketone (natural),Synthetic or semi-synthetic raspberry ketone,1
Raspberry puree,Fruit puree from non-authentic botanical origin,1
Raspberry puree,Plum puree,1
Raspberry puree,Sucrose,1
Red Raspberry juice,Juice of non-authentic botanical origin,1
Red grape juice,Juice of non-authentic botanical origin,1
Red raspberry juice,Juice from non-authentic botanical origin,1
Red snapper (Lutjanus campechanus),Non-authentic fish species,1
Red wine,Azorubine,1
Red wine,Patent blue V,1
Red wine,Red wine of non-authentic botanical origin,1
Red wine,Tartrazine,1
Refined edible oil,Motor oil,1
Rice,Fake rice made from plastic resin and potato starch,1
Rice,Mixture of potato and plastic resin,1
Rice (Basmati),U.S. long grain rice,1
Rice (Thai),U.S. long grain rice,1
Rice bran oil,Argemone oil (Argemone Mexicana),1
Saffron,Blossoms from Onopardon acanthium L. mixed with barium sulfate and artificial color,1
Saffron,Brazilwood dye,1
Saffron (Crocus sativus L.),Curcuma (Curcuma longa L.),1
Saffron,Potassium nitrate,1
Saffron,Saffron petals,1
Saffron,"Saffron stamens or styles, or stigmas from other Crocus species such as marigolds",1
Saffron,Sandalwood dye,1
Saffron,Starch,1
Saffron,Stigma from non-authentic species of Crocus,1
Saffron,Stigma of corn silk,1
Saffron,Sugar,1
Saffron,Sugar and sodium sulfate,1
Saffron,Synthetic safranal,1
Saffron,Turmeric,1
Saffron,Water,1
Saffron (Crocus sativus L.),Amaranth,1
Saffron (Crocus sativus L.),Amaranth dye,1
Saffron (Crocus sativus L.),Azorubine,1
Saffron (Crocus sativus L.),Azorubine dye,1
Saffron (Crocus sativus L.),Barium sulfate,1
Saffron (Crocus sativus L.),Betanine dye,1
Saffron (Crocus sativus L.),Borax,1
Saffron (Crocus sativus L.),Calcium carbonate,1
Saffron (Crocus sativus L.),Cochinela dye,1
Saffron (Crocus sativus L.),Color additives,1
Saffron,Red-dyed silk fiber,1
Saffron,Poppy petals,1
Saffron,Capsicum,1
Saffron,Pomegranate fiber,1
Saffron,Chalk,1
Saffron,Colored corn silk fibers,1
Saffron,Colored corn strings,1
Saffron,Colored grass,1
Saffron,Corn silk colored with red dye,1
Saffron,Crocus's yellow stamen,1
Saffron,Floral waste,1
Saffron,Flowers from calendula (Calendula officinalis L.) colored with methyl orange,1
Saffron,Flowers from curcuma,1
Saffron,Flowers from marigold,1
Saffron,Glucose,1
Saffron,Glycerin,1
Saffron,Gypsum,1
Saffron,Honey,1
Saffron,Maize,1
Saffron,Marigold (Calendula officinalis) flowers,1
Saffron,Non-authentic species dyed with tartrazine and Ponceau 2R,1
Saffron,Non-stigma parts of crocus sativus linnaeus,1
Saffron,Oil,1
Saffron,Onion dyed with ecosin,1
Saffron,Petals of Cynara cardunculus mixed with glyceroborate and potassium nitrate and color with red dye,1
Skim milk powder,Chalk powder,1
Snakehead,Catfish,1
Sodium chloride,Chalk powder,1
Tyrosine (plant-derived),Animal-derived tyrosine,1
Vanilla extract,Ethyl maltol,1
Vanilla extract,Fermentation derived vanillin,1
Vanilla extract,Maltol,1
Vanilla extract,Non-authentic organic acids,1
Vanilla extract,Vanillic alcohol,1
Vanillin (natural),Synthetic vanillin,1
Vegetable oils,Vegetable oil from non-authentic botanical origin,1
Vegetable oils,Vegetable oils of non-authentic botanical or geographic origin,1
Verbena oil (Lippia citriodora),L. citriodora herb distilled over lemon oil,1
Vinegar,Sulfuric acid,1
Vinegar,Synthetically derived acetic acid,1
Vinegar (apple cider),Corn-derived vinegar,1
Vinegar (fermented),Acetic acid (synthetic),1
Vinegar (fermented),"Blended vinegar (mixture of fermented vinegar, acetic acid and food additives)",1
Vinegar (grape wine),Vinegar made from reconstituted dry grapes,1
Vinegar (wine),Alcohol-derived vinegar,1
Violet leaf absolute (Viola odorata),Spinach absolute (Spinacia oleracea),1
Virgin olive oil,Virgin olive oil from non-authentic geographic origin,1
Vodka,"Chloroform, acetone, and isopropyl alcohol",1
Vodka,"Ethanol, methanol, or water",1
Vodka,Fake vodka,1
Unicorn filefish,Non-authentic species of fish,1
Tyrosine (natural),Synthetic tyrosine,1
Vodka,Isopropyl alcohol,1
Turmeric powder,Tartrazine,1
Tumeric,Metanil  yellow,1
Tuna (Auxis thazard and Auxis rochei),Fish of non-authentic species,1
Turmeric,Chalk powder,1
Turmeric,Color additives,1
Turmeric,Curcuma zedoaria,1
Turmeric,Curcumin,1
Turmeric,Lead,1
Turmeric,Maize starch,1
Turmeric,Metanil  yellow,1
Turmeric,Metanil yellow (color additive),1
Turmeric,Metanil yellow dye,1
Turmeric,Rice flour,1
Turmeric,Rice starch,1
Turmeric,Saw dust,1
Turmeric,Spice powder from non-authentic botanical/varietal origin,1
Turmeric,Synthetic dyes,1
Turmeric,Yellow clay,1
Turmeric (powder),Curcuma zedoaria powder,1
Turmeric (powder),Starch,1
Turmeric powder,Starch,1
Turmeric powder,Sudan dyes,1
Vodka,Industrial alcohol,1
Vodka,Methanol,1
Sole (Solea solea),Cynoglossus senegalensis,1
Wheat gluten*,Biuret,1
Wheat gluten*,Dicyandiamide,1
Wheat gluten*,Melamine and related compounds,1
Wheat gluten*,Triuret,1
Wheat gluten*,Urea,1
"Wheat pasta (durum, Triticum durum)",Farina wheat,1
Whey protein*,Melamine,1
Whisky,"Ethanol, methanol, or water",1
White wine,Water,1
Wine,Diethylene glycol,1
Wine,Glyerin,1
Wine,Wine from non-authentic brand,1
Wine (Pinot Noir),Merlot and Syrah wine,1
Wine (Shiraz),Shiraz wine of non-authentic geographic origin,1
Wine (brunello di Montalcino),Wine from grapes of non-authentic botanical origin,1
Xanthan gum*,Konjac gum,1
Yellowfin tuna (Thunnus albacares),Bigeye tuna (Thunnus obesus),1
Ylang ylang oil (Cananga odorata var. genuina),"Benzyl acetate, methyl benzoate, para-cresyl methyl ether, geranyl acetate, benzyl benzoate, benzyl cinnamate, cedarwood oil, and others or complete reconstitutions/bases",1
