adulterant,source,auto SMILES
cyclamate,fda,O[S](=O)(=O)NC1CCCCC1
cynoglossus senegalensis,usp,
cynoscion virescenes [common name weakfish or corvina],ema,
cyromazine,rasff,Nc1nc(N)nc(NC2CC2)n1
cyromazine,usp,Nc1nc(N)nc(NC2CC2)n1
d-aspartic acid,rasff,N[C@H](CC(=O)O)C(=O)O
d-malic acid,usp,OC(CC(O)=O)C(O)=O
dalda,ema,NCCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(N)=O
damaged olives,ema,
damaged or overripe olives,ema,
dasyatis bennetti,ema,
decyltrimethylammonium chloride (antimicrobial compound),usp,
defatted cloves,usp,
defatted paprika,usp,
deg,rasff,OCCOCCO
dehydrated red beets,usp,
dehydroepiandrosterone,rasff,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O
denatured rapeseed oil not fit for consumption,ema,
detergent,usp,
detergent,ema,
detergent,rasff,
dextrin,usp,OC[C@H]1OC(O[C@H]2[C@H](O)[C@@H](O)C(O[C@@H]2CO)O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@@H]1O
dextrose,ema,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
dextrose,usp,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
dextrose or disaccahrides,usp,
dextrose syrup,usp,
di-(2-ethylhexyl)phthalate (dehp),usp,
di-2-ethylhexyl phthalate (dehp),usp,
di-isononyl phthalate (dinp),usp,
di-n-octyl phthalate (dnop),usp,
dibutyl phthalate,ema,C(C=1C(C(=O)OCCCC)=CC=CC1)(=O)OCCCC
dibutyl phthalate (dbp),usp,
dicyandiamide,usp,NC(N)=NC#N
diesel oil,rasff,
diet pills,rasff,
dietary supplement,fda,
diethylene glycol,rasff,C(COCCO)O
diethylene glycol,usp,C(COCCO)O
diethylene glycol,ema,C(COCCO)O
diethylhexyl phthalate,ema,C(C=1C(C(=O)[O-])=CC=CC1)(=O)OC(CCCCC)(CC)CC
diethylhexyl pthalate (dehp),ema,
diisobutyl phthalate,usp,C(C=1C(C(=O)OCC(C)C)=CC=CC1)(=O)OCC(C)C
diisobutyl phthalate,ema,C(C=1C(C(=O)OCC(C)C)=CC=CC1)(=O)OCC(C)C
diisodecyl phthalate (didp),usp,
diisononyl phthalate (dinp),usp,
"diluent solvents including: abitol, benzyl alcohol, benzyl benzoate, carbitol (diethylene glycol monoethyl ether), diacetone alcohol, dipropylene glycol, dipropylene glycol methyl ether and tripropylene glycol methyl ether, hydrogenated methyl ester of ro",usp,
dimethyl yellow,ema,CN(C)c1ccc(cc1)N=Nc2ccccc2
dimethylsildenafil,rasff,
dioxin-like polychlorobifenyls,rasff,
dioxins,rasff,
diphosphate,rasff,[O-]P([O-])(=O)OP(=O)([O-])[O-]
