adulterant,product,category,instances
cadmium,frozen squid (loligo spp.),molluscs and products thereof - (obsolete),1
cadmium,frozen squid (loligo spp),molluscs and products thereof - (obsolete),1
cadmium,frozen squid (loligo gahi),cephalopods and products thereof,1
cadmium,frozen squid (loligo gabi),cephalopods and products thereof,1
cadmium,frozen squid (loligo duvauceli) and cuttlefish (sepia pharaonis),cephalopods and products thereof,1
cadmium,frozen squid (illex spp.),bivalve molluscs and products thereof,1
cadmium,frozen squid (illex spp),cephalopods and products thereof,1
cadmium,frozen squid (illex illecebrosus),cephalopods and products thereof,1
cadmium,frozen spiny spider crabs (maja squinado),crustaceans and products thereof,1
cadmium,frozen marlin (makaira indica),fish and fish products,1
cadmium,frozen marinara mix with squid,fish and fish products,1
cadmium,frozen lobster (homarus americanus),crustaceans and products thereof,1
cadmium,frozen clams,bivalve molluscs and products thereof,1
cadmium,frozen blue shark steak,fish and fish products,1
cadmium,frozen black tiger shrimps (penaeus monodon),crustaceans and products thereof,1
cadmium,frozen black tiger prawns (penaeus monodon),crustaceans and products thereof,1
cadmium,frozen black marlin steak,fish and fish products,1
cadmium,frozen black marlin loin skinless boneless (makaira indica),fish and fish products,1
cadmium,frozen bichique (sicyopterus lagocephalus),fish and fish products,1
cadmium,frozen banana prawns (fenneropenaeus spp.),crustaceans and products thereof,1
cadmium,frozen baked crab (cancer pagurus),crustaceans and products thereof,1
cadmium,frozen baby squid whole (loligo spp),cephalopods and products thereof,1
cadmium,frozen baby shark fillets (mustellus spp),fish and fish products,1
cadmium,frozen baby shark (rhizoprionodon acutus),fish and fish products,1
cadmium,frozen baby shark,fish and fish products,1
cadmium,frozen baby cuttlefish skewer and baby octopus,cephalopods and products thereof,1
cadmium,frozen akiami paste shrimps (acetes japonicus),crustaceans and products thereof,1
cadmium,fresh wild onions,fruits and vegetables,1
cadmium,fresh shark (xiphias gladius),fish and fish products,1
cadmium,fresh refrigerated swordfish fillets (xiphias gladius),wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),1
cadmium,fresh parsnip,fruits and vegetables,1
cadmium,fresh mullet (pseudopeneus prayensis),fish and fish products,1
cadmium,fresh live mussels (modiola barbata),bivalve molluscs and products thereof,1
cadmium,fresh live crabs (cancer pagurus),crustaceans and products thereof,1
cadmium,fresh crabs (cancer pagurus),crustaceans and products thereof,1
cadmium,fresh clear smoke swordfish (xiphias gladius),fish and fish products,1
cadmium,fresh beef,meat and meat products (other than poultry),1
cadmium,fozen swordfish (xiphias gladius),fish and fish products,1
cadmium,frozen blue shark steak and loins (prionace glauca),crustaceans and products thereof,1
cadmium,frozen clams (tawera gayi),molluscs and products thereof - (obsolete),1
cadmium,frozen king prawns (melicortus latisulcatus and m. plebejus),crustaceans and products thereof,1
cadmium,frozen clean baby squid (loligo duvauceli),cephalopods and products thereof,1
cadmium,frozen jumbo squid (dosidicus gigas),cephalopods and products thereof,1
cadmium,frozen horse mackerel (trachurus spp ),fish and fish products,1
cadmium,frozen horse liver,meat and meat products (other than poultry),1
cadmium,frozen hake fillets (merluccius capensis),fish and fish products,1
cadmium,frozen hake barbels,fish and fish products,1
cadmium,frozen grilled squid (illex argentinus),cephalopods and products thereof,1
cadmium,frozen european squid (loligo vulgaris),cephalopods and products thereof,1
cadmium,frozen dried anchovy,fish and fish products,1
cadmium,frozen cuttlefish tentacles (sepia pharaonis),cephalopods and products thereof,1
cadmium,frozen cuttlefish (sepiola spp.),cephalopods and products thereof,1
cadmium,frozen cuttlefish (sepia pharaonis),cephalopods and products thereof,1
cadmium,frozen cuttlefish (sepia officinalis),molluscs and products thereof - (obsolete),1
cadmium,frozen cuttlefish (loligo spp),cephalopods and products thereof,1
cadmium,frozen cuttlefish (loligo japonica),molluscs and products thereof - (obsolete),1
cadmium,frozen cuttlefish,molluscs and products thereof - (obsolete),1
cadmium,frozen cuttlefish,fish and fish products,1
cadmium,frozen cuttlefish,crustaceans and products thereof,1
cadmium,frozen crab (portunus trituberculatus),crustaceans and products thereof,1
cadmium,frozen crab (cancer pagurus),crustaceans and products thereof,1
cadmium,frozen cooked mussels (mytilus chilensis),bivalve molluscs and products thereof,1
cadmium,frozen cooked crab (cancer pagurus),crustaceans and products thereof,1
cadmium,frozen cooked & peeled prawns,crustaceans and products thereof,1
cadmium,frozen cleaned whole cuttlefish,cephalopods and products thereof,1
cadmium,frozen cleaned squid,cephalopods and products thereof,1
cadmium,frozen cleaned blood clams (tegillarca granosa),bivalve molluscs and products thereof,1
cadmium,frozen tilapia (orechromis niloticus),fish and fish products,1
cadmium,frozen whole argentine shortfin squid (illex argentinus),molluscs and products thereof - (obsolete),1
benzoic acid,anchovy sauce,fish and fish products,1
cadmium,migration of cadmium (from rim: 2.3-3.9; 1.2-2.1 mg/dmå_) and of lead (from rim: 21.1-36.9; 16.5-27.9 mg/dmå_),food contact materials,1
cadmium,octopus in hot sauce,molluscs and products thereof - (obsolete),1
cadmium,octopus - frozen baby,molluscs and products thereof - (obsolete),1
cadmium,octopus - frozen,molluscs and products thereof - (obsolete),1
cadmium,octopus - canned spiced,molluscs and products thereof - (obsolete),1
cadmium,octopus (octopus spp.) in vegetable oil,cephalopods and products thereof,1
cadmium,mussels,bivalve molluscs and products thereof,1
cadmium,murex sea snails,gastropods,1
cadmium,mircoalgae tablets,"dietetic foods, food supplements, fortified foods",1
cadmium,migration of cadmium and of lead,food contact materials,1
cadmium,migration of cadmium (per item: 3.6 - 17.2 mg) and of lead (per item: 72.7 - 267.8 - mg),food contact materials,1
cadmium,migration of cadmium (per item: 0.371; 3.691; 0.537; 0.542 mg),food contact materials,1
cadmium,"migration of cadmium (per item: 0.32 - 6.7 mg) and of lead (per item: 7,75 - 57,92 mg)",food contact materials,1
cadmium,migration of cadmium (between 4.0 and 14.5 mg/l) and of lead (between 44.8 and 103.7 mg/l),food contact materials,1
cadmium,frozen whole atlantic squid (illex argentinus),cephalopods and products thereof,1
cadmium,migration of cadmium (6.87 mg/l),food contact materials,1
cadmium,migration of cadmium (3.12 mg) and of lead (80.66 mg),food contact materials,1
cadmium,migration of cadmium (2.6; 2.8 mg/dmå_) and of lead (27; 30 mg/dmå_),food contact materials,1
cadmium,"migration of cadmium (2.29; 2.29; 2.29 ;2.27 mg) and of lead (22.4; 25.3; 22.6; 27.,4 mg)",food contact materials,1
cadmium,migration of cadmium (2.17-2.25 mg) and of lead (27.75-29.73 mg),food contact materials,1
cadmium,"migration of cadmium (10,6 mg/kg - ppm) and of lead (101 mg/kg - ppm)",food contact materials,1
cadmium,migration of cadmium (1.4; 0.15; 0.6 mg/dmå_) and of lead (5.3; 0.7; 2.8),food contact materials,1
cadmium,migration of cadmium (0.85 mg/l) and of lead (29.6 mg/l),food contact materials,1
cadmium,migration of cadmium (0.77 mg/l) and of lead (28.0 mg/l),food contact materials,1
cadmium,migration of cadmium (0.46 mg) and of lead (4.51 mg),food contact materials,1
cadmium,migration of cadmium (0.22; 0.14; 0.21; 0.15 mg/dmå_),food additives and flavourings,1
cadmium,migration of cadmium (0.2 mg/kg - ppm) and of lead (2.0 mg/kg - ppm),food contact materials,1
cadmium,octopus in oil,molluscs and products thereof - (obsolete),1
cadmium,octopus membranaceus,cephalopods and products thereof,1
cadmium,"organic cocoa processed in germany, with raw material","cocoa and cocoa preparations, coffee and tea",1
cadmium,parsnips - fresh,fruits and vegetables,1
cadmium,seafood mixed skewer - frozen,fish and fish products,1
cadmium,sea mussels in jars,bivalve molluscs and products thereof,1
cadmium,scallops in shell (pecten maximus),bivalve molluscs and products thereof,1
cadmium,scallops - frozen variant,molluscs and products thereof - (obsolete),1
cadmium,sardines in vegetable oil,fish and fish products,1
cadmium,sardines in the vegetable oil,fish and fish products,1
cadmium,sardines in soya oil,fish and fish products,1
cadmium,sardines in seed oil with lemon,fish and fish products,1
cadmium,sardines in seed oil,fish and fish products,1
cadmium,sardines in oil (sardina pilchardus),fish and fish products,1
cadmium,sardines in oil,fish and fish products,1
cadmium,sardines,fish and fish products,1
cadmium,rock snails,gastropods,1
cadmium,roasted seaweed,fruits and vegetables,1
cadmium,rice,cereals and bakery products,1
cadmium,razor-clams and octopus canned,molluscs and products thereof - (obsolete),1
cadmium,razor-clams - canned,molluscs and products thereof - (obsolete),1
cadmium,purple dye murex (murex brandarix),gastropods,1
cadmium,purple dye murex (murex brandaris),gastropods,1
cadmium,purple dye murex (bolinus brandaris),gastropods,1
cadmium,prawns and crabs,crustaceans and products thereof,1
cadmium,pork rinds,meat and meat products (other than poultry),1
cadmium,poppy seed,"nuts, nut products and seeds",1
cadmium,pickled mushrooms,fruits and vegetables,1
cadmium,pasteurized crab meat (cancer pagurus),crustaceans and products thereof,1
cadmium,"migration of cadmium (0,11-0,14 mg/dmå_)",food contact materials,1
cadmium,marlin steaks (makaira indica),fish and fish products,1
cadmium,mackerel fillets in olive oil,fish and fish products,1
cadmium,frozen whole squid (loligo duvauceli),cephalopods and products thereof,1
cadmium,frozen whole round cuttlefish (sepia officinalis),molluscs and products thereof - (obsolete),1
cadmium,frozen whole round cuttlefish,molluscs and products thereof - (obsolete),1
cadmium,frozen whole round cuttlefish,cephalopods and products thereof,1
cadmium,frozen whole raw banana prawns (fenneropenaeus merguiensis),crustaceans and products thereof,1
cadmium,frozen whole prawns (metapenaeus endeavouri and ensis),crustaceans and products thereof,1
cadmium,frozen whole prawns,crustaceans and products thereof,1
cadmium,frozen whole patagonian squid (loligo patagonica),cephalopods and products thereof,1
cadmium,frozen whole cuttlefish (sepia spp),molluscs and products thereof - (obsolete),1
cadmium,frozen whole cuttlefish (sepia pharaonis),cephalopods and products thereof,1
cadmium,frozen whole cooked mussels (mytilus chilensis),bivalve molluscs and products thereof,1
cadmium,frozen whole cooked crabs (cancer pagurus),crustaceans and products thereof,1
cadmium,frozen whole cleaned squids,cephalopods and products thereof,1
cadmium,frozen whole cleaned squid (loligo formosana),cephalopods and products thereof,1
cadmium,frozen whole cleaned octopus (octopus membranaceus),cephalopods and products thereof,1
cadmium,frozen whole cleaned octopus,cephalopods and products thereof,1
cadmium,frozen whole cleaned cuttlefish skewer,cephalopods and products thereof,1
cadmium,frozen whole cleaned cuttlefish iqf (sepia spp + octopus spp),molluscs and products thereof - (obsolete),1
cadmium,frozen whole cleaned cuttlefish and baby octopus,cephalopods and products thereof,1
cadmium,frozen whole cleaned cuttlefish (sepiella japonica),cephalopods and products thereof,1
cadmium,frozen whole cleaned cuttlefish (sepia spp.),cephalopods and products thereof,1
cadmium,frozen whole cleaned cuttlefish (sepia pharaonis),molluscs and products thereof - (obsolete),1
cadmium,frozen whole cleaned cuttlefish (sepia officinalis),cephalopods and products thereof,1
cadmium,frozen whole cleaned cuttlefish,cephalopods and products thereof,1
cadmium,frozen whole cleaned baby octopus (octopus spp),molluscs and products thereof - (obsolete),1
cadmium,frozen whole calamars,cephalopods and products thereof,1
cadmium,frozen whole round cuttlefish (sepia spp),cephalopods and products thereof,1
cadmium,frozen whole squid (loligo duvaucelli),cephalopods and products thereof,1
cadmium,long grain rice,cereals and bakery products,1
cadmium,frozen whole squid (loligo vulgaris),molluscs and products thereof - (obsolete),1
cadmium,lobster - live,crustaceans and products thereof,1
cadmium,liver 1.3 <--> 4.3 in kidney mg/kg - ppm) in bovine liver and kidney,meat and meat products (other than poultry),1
cadmium,live slipper lobster (scyllarides herklostii),crustaceans and products thereof,1
cadmium,live lobsters (homarus spp.),crustaceans and products thereof,1
cadmium,live lobsters (homarus spp),crustaceans and products thereof,1
cadmium,live horses for slaughter,meat and meat products (other than poultry),1
cadmium,live crabs (maya squinado and cancer pagurus),crustaceans and products thereof,1
cadmium,live crabs (maja squinado),crustaceans and products thereof,1
cadmium,live clams (modiola barbata),bivalve molluscs and products thereof,1
cadmium,large chilled dried anchovies (engraulis spp.),fish and fish products,1
cadmium,john dory (zeus faber),fish and fish products,1
cadmium,jellyfish in brine,fish and fish products,1
cadmium,iqf frozen oysters,bivalve molluscs and products thereof,1
cadmium,iqf frozen octopus (sepia spp + octopus spp),molluscs and products thereof - (obsolete),1
cadmium,iqf frozen baby octopus (sepia spp + octopus spp),molluscs and products thereof - (obsolete),1
cadmium,in sea water cooked crab,crustaceans and products thereof,1
cadmium,horse quarters,meat and meat products (other than poultry),1
cadmium,horse liver,meat and meat products (other than poultry),1
cadmium,herbal supplement,"dietetic foods, food supplements, fortified foods",1
cadmium,green-lipped mussel powder (perna canaliculus),"dietetic foods, food supplements, fortified foods",1
cadmium,green celery,fruits and vegetables,1
cadmium,frozen whole squids (loligo douvaceli),cephalopods and products thereof,1
cadmium,frozen whole squids (illex spp.),bivalve molluscs and products thereof,1
cadmium,frozen whole squids,cephalopods and products thereof,1
cadmium,frozen whole squid in block (nototodarus sloanii),molluscs and products thereof - (obsolete),1
cadmium,eviscerated squid mg/kg - ppm) in squid - frozen welligton flying (nototodarus sloani),molluscs and products thereof - (obsolete),1
cadmium,elite wheat,cereals and bakery products,1
cadmium,dried shrimps,crustaceans and products thereof,1
benzoic acid,minced ginger and garlic paste,"soups, broths, sauces and condiments",1
benzoic acid,olives,fruits and vegetables,1
benzoic acid,noni juice,"dietetic foods, food supplements, fortified foods",1
benzoic acid,non-alcoholic mulled wine,non-alcoholic beverages,1
benzoic acid,non-alcoholic margarita drink,non-alcoholic beverages,1
benzoic acid,non-alcoholic beverages,non-alcoholic beverages,1
benzoic acid,natural coconut water and natural coconut water with fruit,non-alcoholic beverages,1
benzoic acid,multifruit marmalade,confectionery,1
benzoic acid,mixed fruit filling,confectionery,1
benzoic acid,mixed flavour fruit jelly,ices and desserts,1
benzoic acid,mini cake with strawberry filling,cereals and bakery products,1
benzoic acid,mini cake with blueberry filling,cereals and bakery products,1
benzoic acid,minced meat product,meat and meat products (other than poultry),1
benzoic acid,maraschino cherries,fruits and vegetables,1
cadmium,dried shitake mushrooms (lentinula edodes),fruits and vegetables,1
benzoic acid,maracuja juice,fruits and vegetables,1
benzoic acid,mango juice drink,non-alcoholic beverages,1
benzoic acid,mango juice,non-alcoholic beverages,1
benzoic acid,mango beverage,non-alcoholic beverages,1
benzoic acid,lychee drink,non-alcoholic beverages,1
benzoic acid,low-sugar apricot jam,confectionery,1
benzoic acid,liquid candy,non-alcoholic beverages,1
benzoic acid,kola flavor soda,non-alcoholic beverages,1
benzoic acid,jam,confectionery,1
benzoic acid,hot sauce for roasting,"soups, broths, sauces and condiments",1
benzoic acid,hot ketchup,"soups, broths, sauces and condiments",1
benzoic acid,herring salad,prepared dishes and snacks,1
benzoic acid,orange juice,non-alcoholic beverages,1
benzoic acid,orange juice concentrate,non-alcoholic beverages,1
benzoic acid,orange juice drink,non-alcoholic beverages,1
benzoic acid,orange soft drink,non-alcoholic beverages,1
benzoic acid,seaweed extract,fruits and vegetables,1
benzoic acid,seasoning sauce,"soups, broths, sauces and condiments",1
benzoic acid,salted soy beans,fruits and vegetables,1
benzoic acid,salted radish,fruits and vegetables,1
benzoic acid,rose jam,confectionery,1
benzoic acid,roasted eggplant puree,fruits and vegetables,1
benzoic acid,refreshments,non-alcoholic beverages,1
benzoic acid,refreshing orange drink,non-alcoholic beverages,1
benzoic acid,red pepper paste,"soups, broths, sauces and condiments",1
benzoic acid,raspberry syrup,fruits and vegetables,1
benzoic acid,preserved turnips,fruits and vegetables,1
benzoic acid,preserved radish (raphanus sativus),fruits and vegetables,1
benzoic acid,prepared salads,prepared dishes and snacks,1
benzoic acid,precooked shrimps,crustaceans and products thereof,1
benzoic acid,portello (non-alcoholic beverage),non-alcoholic beverages,1
benzoic acid,pineapple soft drink,non-alcoholic beverages,1
benzoic acid,pineapple flavoured fruit jelly,confectionery,1
benzoic acid,pickled vegetable,fruits and vegetables,1
benzoic acid,pickled mango,"soups, broths, sauces and condiments",1
benzoic acid,pickled mango,fruits and vegetables,1
benzoic acid,pickled chopped mushrooms,fruits and vegetables,1
benzoic acid,"peach, apricot and strawberry jam",confectionery,1
benzoic acid,palm sugar,fruits and vegetables,1
benzoic acid,oyster sauce,"soups, broths, sauces and condiments",1
benzoic acid,oranges-nectarines drink,non-alcoholic beverages,1
benzoic acid,green chilli sauce,"soups, broths, sauces and condiments",1
benzoic acid,ginseng soft drink,non-alcoholic beverages,1
benzoic acid,ginger paste,other food product / mixed,1
benzoic acid,chilled shrimps,crustaceans and products thereof,1
benzoic acid,cherry jam,confectionery,1
benzoic acid,cherry flavoured cake,confectionery,1
benzoic acid,cheese salad,fruits and vegetables,1
benzoic acid,carbonated orange drink,non-alcoholic beverages,1
benzoic acid,carbonated flavoured drink,non-alcoholic beverages,1
benzoic acid,caramel syrup,non-alcoholic beverages,1
benzoic acid,caramel glaze,confectionery,1
benzoic acid,canned sparkling grape soda,non-alcoholic beverages,1
benzoic acid,canned banana paste,fruits and vegetables,1
benzoic acid,candy cones,non-alcoholic beverages,1
benzoic acid,butterscotch root beer,non-alcoholic beverages,1
benzoic acid,butter pecan flavour syrup,confectionery,1
benzoic acid,brownies,cereals and bakery products,1
benzoic acid,bottled semisweet red wine,wine,1
benzoic acid,blueberry jam,confectionery,1
benzoic acid,black olive paste,"soups, broths, sauces and condiments",1
benzoic acid,baby bottle artificially flavoured drink on a candy,confectionery,1
benzoic acid,ayurvedic plant preparation,herbs and spices,1
benzoic acid,artificially flavoured lemon juice,non-alcoholic beverages,1
benzoic acid,apricot jam,confectionery,1
benzoic acid,apple cubes- jams,confectionery,1
benzoic acid,and insufficient labelling of instant mixed soup in packets,confectionery,1
benzoic acid,and insufficient labelling of energy drink,non-alcoholic beverages,1
benzoic acid,and incorrect labelling on soft drink,non-alcoholic beverages,1
benzoic acid,and incorrect labelling on honey and maple flavour syrup,confectionery,1
benzoic acid,cherry soft drink,non-alcoholic beverages,1
benzoic acid,chyawanprash jam with honey,confectionery,1
benzoic acid,ginger garlic chilli sauce,"soups, broths, sauces and condiments",1
benzoic acid,citrus flavour drink,non-alcoholic beverages,1
benzoic acid,ginger and garlic paste,other food product / mixed,1
benzoic acid,fruit preparation (murabba amala),fruits and vegetables,1
benzoic acid,fruit juice,non-alcoholic beverages,1
benzoic acid,fruit jams,confectionery,1
benzoic acid,fruit beverages,non-alcoholic beverages,1
benzoic acid,frozen slices of squid,cephalopods and products thereof,1
benzoic acid,frozen ice pop drink,non-alcoholic beverages,1
benzoic acid,frozen cooked shrimps,crustaceans and products thereof,1
benzoic acid,fresh stracciatella filled croissants,cereals and bakery products,1
benzoic acid,food colouring gel,food additives and flavourings,1
benzoic acid,flavoured drinks,non-alcoholic beverages,1
benzoic acid,fizzy grape juice,non-alcoholic beverages,1
benzoic acid,fish sauce,"soups, broths, sauces and condiments",1
benzoic acid,fig jam,confectionery,1
benzoic acid,fermented gherkins,fruits and vegetables,1
benzoic acid,energizing drink,non-alcoholic beverages,1
benzoic acid,dried strawberries,fruits and vegetables,1
benzoic acid,dried prunes,fruits and vegetables,1
benzoic acid,dried mango,fruits and vegetables,1
benzoic acid,diet root beer,non-alcoholic beverages,1
benzoic acid,date jam,confectionery,1
benzoic acid,dalandan drink,non-alcoholic beverages,1
benzoic acid,cream soda,non-alcoholic beverages,1
benzoic acid,cola drink,non-alcoholic beverages,1
benzoic acid,coconut flavoured fruit jelly,confectionery,1
benzoic acid,sherbert syrup,ices and desserts,1
benzoic acid,soda drink,non-alcoholic beverages,1
benzoic acid,soda flavoured soft drink,non-alcoholic beverages,1
cadmium,chilled squids (illex argentinus),fish and fish products,1
cadmium,chilled snails (murex brandaris),gastropods,1
cadmium,chilled purple dye murex (murex brandaris) and banded dye-murex (murex trunculus),gastropods,1
cadmium,chilled lobster (scyllarus arctus),crustaceans and products thereof,1
cadmium,chilled horse carcasses,meat and meat products (other than poultry),1
cadmium,chilled cooked crab (cancer pagurus),crustaceans and products thereof,1
cadmium,chilled clams,bivalve molluscs and products thereof,1
cadmium,chilled boneless horse and donkey meat,meat and meat products (other than poultry),1
cadmium,canned tuna,fish and fish products,1
cadmium,canned squid in spicy sauce (loligo spp),cephalopods and products thereof,1
cadmium,canned squid in hot sauce,cephalopods and products thereof,1
cadmium,canned squid (loligo spp) in natural juice,cephalopods and products thereof,1
cadmium,canned squid (loligo formosana),cephalopods and products thereof,1
cadmium,canned sliced pineapple,fruits and vegetables,1
cadmium,canned sardines with sauce,fish and fish products,1
cadmium,canned sardines in soya oil,fish and fish products,1
cadmium,canned sardines in oil,fish and fish products,1
cadmium,canned pineapple tidbits in own juice,fruits and vegetables,1
cadmium,canned pineapple,fruits and vegetables,1
cadmium,canned pilchards,fish and fish products,1
cadmium,canned octopus,cephalopods and products thereof,1
cadmium,canned mackerel,fish and fish products,1
cadmium,buckwheat flour,cereals and bakery products,1
cadmium,boneless horse meat,meat and meat products (other than poultry),1
cadmium,block frozen whole round squids,cephalopods and products thereof,1
cadmium,block frozen gutted octopus (octopus spp),molluscs and products thereof - (obsolete),1
cadmium,chilled squid (loligo spp),cephalopods and products thereof,1
cadmium,chilled tiger prawns,crustaceans and products thereof,1
cadmium,baby food - infant rice with apple,"dietetic foods, food supplements, fortified foods",1
cadmium,chilled vacuum-packed smoked marlin slices,fish and fish products,1
cadmium,dried shiitake (lentinula edodes),fruits and vegetables,1
cadmium,dried seaweed,fruits and vegetables,1
cadmium,dried mushroom (shiitake),fruits and vegetables,1
cadmium,dried mushroom (lentinus edodes),fruits and vegetables,1
cadmium,dried mushroom (boletus edulis),fruits and vegetables,1
cadmium,dried celery leaves,fruits and vegetables,1
cadmium,dried anchovy (stolephorus spp),fish and fish products,1
cadmium,defrosted cuttlefish,molluscs and products thereof - (obsolete),1
cadmium,deepfrozen whole cuttlefish,molluscs and products thereof - (obsolete),1
cadmium,deep-frozen swordfish,fish and fish products,1
cadmium,cuttlefish portions,molluscs and products thereof - (obsolete),1
cadmium,cuttlefish and squid - frozen,molluscs and products thereof - (obsolete),1
cadmium,cuttlefish - frozen whole cleaned,molluscs and products thereof - (obsolete),1
cadmium,cuttlefish - frozen (sepia pharaonis),molluscs and products thereof - (obsolete),1
cadmium,curved razor shell - canned(without shell),molluscs and products thereof - (obsolete),1
cadmium,crushed pineapple in its own juice,fruits and vegetables,1
cadmium,crispy squid,cephalopods and products thereof,1
cadmium,crispy anchovy with sesame (stolephorus spp),fish and fish products,1
cadmium,crabs (cancer pagurus,crustaceans and products thereof,1
cadmium,crab meat (cancer pagurus),crustaceans and products thereof,1
cadmium,confection sunflowers,confectionery,1
cadmium,coloured and flavoured gums,confectionery,1
cadmium,cleaned glazed deepfrozen cuttlefish skewer,cephalopods and products thereof,1
cadmium,cleaned frozen cuttlefish (sepiella japonica),cephalopods and products thereof,1
cadmium,cleaned and cut squids,cephalopods and products thereof,1
cadmium,baby food with carrot,"dietetic foods, food supplements, fortified foods",1
cadmium,avocados,fruits and vegetables,1
benzoic acid,soft drink (sarsi),non-alcoholic beverages,1
beta-phenylmethylamine,food supplement,"dietetic foods, food supplements, fortified foods",1
benzophenone,migration of benzophenone (1747 åµg/kg - ppb),cereals and bakery products,1
benzoic acid,white glaze coated gingerbread,cereals and bakery products,1
benzoic acid,various non-alcoholic beverages,non-alcoholic beverages,1
benzoic acid,various fat free dressings,"soups, broths, sauces and condiments",1
benzoic acid,tropical soft drink,non-alcoholic beverages,1
benzoic acid,tomato ketchup,"soups, broths, sauces and condiments",1
benzoic acid,tkemali green sauce,"soups, broths, sauces and condiments",1
benzoic acid,tea and yerba mate extract drink,non-alcoholic beverages,1
benzoic acid,tamarind flavoured soft drink,non-alcoholic beverages,1
benzoic acid,syrup,ices and desserts,1
benzoic acid,sweet chilli sauce for chicken,"soups, broths, sauces and condiments",1
benzoic acid,sugar free raspberry fruit spread,fruits and vegetables,1
benzoic acid,sugar free raspberry fruit spread,confectionery,1
benzoic acid,strawberry syrup,non-alcoholic beverages,1
benzoic acid,strawberry flavoured fruit jelly,ices and desserts,1
benzoic acid,sterilized mixed vegetables,fruits and vegetables,1
benzoic acid,spicy sauce,"soups, broths, sauces and condiments",1
benzoic acid,sparkling muscatella drink,non-alcoholic beverages,1
benzoic acid,sparkling grape soda,non-alcoholic beverages,1
benzoic acid,sparkling grape juice,non-alcoholic beverages,1
benzoic acid,sour cabbage (sauerkraut),fruits and vegetables,1
benzoic acid,soft wheat pasta,cereals and bakery products,1
benzoic acid,soft fizzy drinks,non-alcoholic beverages,1
benzoic acid,soft drink with orange juice,non-alcoholic beverages,1
benzoic acid,soft drink in cans,non-alcoholic beverages,1
benzophenone,migration of benzophenone (3.4 mg/kg - ppm),food contact materials,1
betanin,vacuum packed yellow fin tuna (thunnus albacares),fish and fish products,1
cadmium,atlantic pilchards,fish and fish products,1
bis,food for sports people,"dietetic foods, food supplements, fortified foods",1
cadmium,atlantic mackerel (scomber scombrus),fish and fish products,1
cadmium,aromatic herbs (arthemisia absinthium),herbs and spices,1
cadmium,and unsuitable transport conditions for watermelon,fruits and vegetables,1
cadmium,and unauthorised irradiation of algae powder (spirulina platensis ),herbs and spices,1
cadmium,and microbiological contamination of squid + cuttlefish - frozen,molluscs and products thereof - (obsolete),1
cadmium,anchovy fillets,fish and fish products,1
cadmium,anchovy and hake barbels,fish and fish products,1
cadmium,4 out of 5 samples) in swordfish,fish and fish products,1
butylated hydroxytoluene,preparation for injection into fresh meat,food additives and flavourings,1
butylated hydroxyanisole,bubble gum,confectionery,1
butanone,2 bottles) in mineral water,non-alcoholic beverages,1
bromate,bottled still table water,water for human consumption (other),1
bromate,bottled drinking water,non-alcoholic beverages,1
brilliant blue fcf,sweets,confectionery,1
brilliant blue fcf,candy with gum,confectionery,1
bovine protein,sesame marmalade,confectionery,1
bovine protein,salted hog casings,meat and meat products (other than poultry),1
bovine protein,chicken sausage,poultry meat and poultry meat products,1
boron glycinate,food supplement,"dietetic foods, food supplements, fortified foods",1
boron,mineral water,non-alcoholic beverages,1
boron,mineral water,natural mineral water,1
boron,carbonated natural mineral water,natural mineral water,1
boric acid,frozen shrimps,crustaceans and products thereof,1
boric acid,caviar,fish and fish products,1
bleach,mineral water,non-alcoholic beverages,1
dioxin-like polychlorobifenyls,seal oil,fats and oils,1
fulvic acid,diet supplement,"dietetic foods, food supplements, fortified foods",1
dioxins,bluefin tuna,fish and fish products,1
sodium nitrite,frozen salmon and salmon roe,fish and fish products,1
solution,still mineral water,natural mineral water,1
sodium sorbate,cherry jam,confectionery,1
sodium sorbate,candy,confectionery,1
sodium propyl p-hydroxybenzoate,concentrated liquid coffee,"cocoa and cocoa preparations, coffee and tea",1
sodium propyl p-hydroxybenzoate,bottled flavoured water,non-alcoholic beverages,1
sodium nitrite,smoked salmon fillets,fish and fish products,1
sodium nitrite,smoked or cured salmon and trout,fish and fish products,1
sodium nitrite,ham,meat and meat products (other than poultry),1
sodium nitrite,frozen smoked sliced salmon,fish and fish products,1
sodium nitrite,frozen smoked salmon slices,fish and fish products,1
sodium nitrite,frozen smoked cod loins (gadus macrocephalus),fish and fish products,1
sodium nitrite,frozen smoked cod (gadus macrocephalus),fish and fish products,1
sodium nitrite,frozen light salted cod (gadus macrocephalus),fish and fish products,1
sorbic acid,biscuits with sugar,cereals and bakery products,1
sodium nitrite,bresaola,meat and meat products (other than poultry),1
sodium nitrate,tunnel extra salami sausage with herbs,meat and meat products (other than poultry),1
sodium nitrate,smoked eel and frozen fresh eel (anguilla anguilla),fish and fish products,1
sodium nitrate,salami snack,meat and meat products (other than poultry),1
sodium nitrate,patÌ©,meat and meat products (other than poultry),1
sodium nitrate,extra salami with pepper,meat and meat products (other than poultry),1
sodium nitrate,extra salami,meat and meat products (other than poultry),1
sodium nitrate,dried and/or salted bovine meat product (bÌ_ndnerfleisch),meat and meat products (other than poultry),1
sodium nitrate,"dried and/or salted bovine meat product ""bÌ_ndnerfleisch""",meat and meat products (other than poultry),1
